编号,内容,"评判维度：物价、交通、卫生、环境、安全、服务、游览、购物
评分规则：高到低，依次为5分，4分，3分，2分，1分",维度,评分（5分制）,关键词判断（从句子中的某些词语得到关键词）
,分句7,出去吃早饭也可以,交通,3,吃早饭
,分句8,设施一般价格属于比如家高,物价,2,比如家高
,分句9,但没有如家人多,无,0,
,分句10,洗澡水压力不足,服务,1,澡水
,,,,,
847,整体评论,客房过道阴暗，并且地毯感觉很陈旧了，给人一种很压抑的感觉， 245一晚的商务间，空间小得让你怀疑人生，床到电视的空间两人同时过都要打挤， 窗外几乎没有什么景色可言，就一个破旧停车场， 带有双早房间软装，卫生间设施还是比较新， 整体像个150块钱的商务酒店性价比很低,总体,2,
,分句1,客房过道阴暗,环境,1,过道阴暗
,分句2,并且地毯感觉很陈旧了,环境,1,陈旧
,分句3,给人一种很压抑的感觉,环境,1,压抑
,分句4, 245一晚的商务间,物价,3,245
,分句5,空间小得让你怀疑人生,环境,2,空间小
,分句6,床到电视的空间两人同时过都要打挤,环境,2,空间
,分句7, 窗外几乎没有什么景色可言,环境,2,景色
,分句8,就一个破旧停车场,环境,2,破旧停车场
,分句9, 带有双早房间软装,服务,2,双早房间软装
,分句10,卫生间设施还是比较新,环境,3,卫生间设施
,分句11, 整体像个150块钱的商务酒店性价比很低,物价,1,150块
,,,,,
848,整体评论,卫生间好大呀，淋浴间和马桶间还是完全隔开的两个空间，洗澡不耽误上厕所，浴缸还是双人的，房间整体也很大，两张大床非常舒服，就是送机服务间隔一个小时没有赶上下一班太晚了，建议半小时一趟，,总体,3,
,分句1,卫生间好大呀,环境,4,卫生间
,分句2,淋浴间和马桶间还是完全隔开的两个空间,环境,3,淋浴间和马桶间
,分句3,洗澡不耽误上厕所,环境,3,洗澡
,分句4,浴缸还是双人的,环境,3,浴缸
,分句5,房间整体也很大,环境,3,房间
,分句6,两张大床非常舒服,环境,3,大床
,分句7,就是送机服务间隔一个小时没有赶上下一班太晚了,服务,2,送机服务
,分句8,建议半小时一趟,服务,2,半小时一趟
,,,,,
849,整体评论,硬件条件不错，48平米的大床房，床超大洗澡间两个并排的浴盆，卫生间又有一个浴盆，早餐也不错，十几种选择汤粥类的就五、六种选择，蛋挞是冷的难吃，其他食物都还挺好的，希望前台工作人员能够进一步熟悉业务，加快办理速度，,总体,3,
,分句1,硬件条件不错,环境,3,硬件条件
,分句2,48平米的大床房,环境,3,48平米
,分句3,床超大洗澡间两个并排的浴盆,环境,3,洗澡间
,分句4,卫生间又有一个浴盆,环境,3,卫生间
,分句5,早餐也不错,服务,4,早餐
,分句6,十几种选择汤粥类的就五、六种选择,服务,4,汤粥类
,分句7,蛋挞是冷的难吃,服务,2,蛋挞
,分句8,其他食物都还挺好的,服务,3,挺好
,分句9,希望前台工作人员能够进一步熟悉业务,服务,2,前台工作人员
,分句10,加快办理速度,服务,2,办理速度
,,,,,
850,整体评论,1.房间大硬装水平不错，2.住宿生活用品齐全质量不错，备了毛峰与正山小种，浴室洗漱用品，这次都破例试用了，3.大床床品舒适衣柜管大，似乎1个人睡有些浪费，4.卫生间与浴室完全隔开感觉很大气，唯一美中不足的就是听到飞机的声音，另外服务不错，叫早免费备早餐送机都很温馨。,总体,4,
,分句1,1.房间大硬装水平不错,环境,3,硬装水平
,分句2,2.住宿生活用品齐全质量不错,环境,3,生活用品齐全
,分句3,备了毛峰与正山小种,服务,4,毛峰与正山小种
,分句4,浴室洗漱用品,服务,4,洗漱用品
,分句5,这次都破例试用了,无,0,
,分句6,3.大床床品舒适衣柜管大,环境,4,大床
,分句7,似乎1个人睡有些浪费,无,0,
,分句8,4.卫生间与浴室完全隔开感觉很大气,环境,4,大气
,分句9,唯一美中不足的就是听到飞机的声音,环境,2,飞机的声音
,分句10,另外服务不错,服务,4,服务不错
,分句11,叫早免费备早餐送机都很温馨,服务,4,叫早送机
,,,,,
851,整体评论,贴心的电梯层号和房间号，数字大而且明显方便，大大的房间，超大的床，双人浴缸，卫生间和淋浴间分了二个，卫生间的灯是声控的，还有个品茶的坐台，酒店二层的餐厅也不错，价格不贵味道也好，累了可以不必外出就餐了，另外免费的送机也很棒，早晨有几家的行李带多了，酒店的车不够了，前台的先生又为我们叫了滴滴,总体,5,
,分句1,贴心的电梯层号和房间号,环境,4,贴心
,分句2,数字大而且明显方便,环境,4,数字大
,分句3,大大的房间,环境,5,房间
,分句4,超大的床,环境,5,床
,分句5,双人浴缸,环境,5,浴缸
,分句6,卫生间和淋浴间分了二个,环境,5,卫生间和淋浴间
,分句7,卫生间的灯是声控的,环境,4,声控的
,分句8,还有个品茶的坐台,环境,4,品茶的坐台
,分句9,酒店二层的餐厅也不错,服务,4,餐厅
,分句10,价格不贵味道也好,物价,5,价格不贵
,分句11,累了可以不必外出就餐了,无,0,
,分句12,另外免费的送机也很棒,服务,5,免费的送机
,分句13,早晨有几家的行李带多了,无,0,
,分句14,酒店的车不够了,无,0,
,分句15,前台的先生又为我们叫了滴滴,服务,5,滴滴
,,,,,
852,整体评论,机场周边环境好，交通便利，酒店大床超豪华，价钱实惠才300多，刚从国外回来，一对比还是我们国家好，这在美国恐怕要3-5千呀,总体,4,
,分句1,机场周边环境好,环境,5,周边环境
,分句2,交通便利,环境,5,交通便利
,分句3,酒店大床超豪华,环境,5,豪华
,分句4,价钱实惠才300多,物价,4,300多
,分句5,刚从国外回来,无,0,
,分句6,一对比还是我们国家好,无,0,
,分句7,这在美国恐怕要3-5千呀,物价,4,3-5千
,,,,,
853,整体评论,每次到成都出差，在市里办完事就会住到双流融投酒店，房间大价格实惠，旁边就是菜市场买水果很方便，接送机场很便捷，从机场打车到双流没人愿意拉还要加钱,总体,3,
,分句1,每次到成都出差,无,0,
,分句2,在市里办完事就会住到双流融投酒店,无,0,
,分句3,房间大价格实惠,物价,3,价格实惠
,分句4,旁边就是菜市场买水果很方便,购物,3,菜市场
,分句5,接送机场很便捷,服务,3,接送机场
,分句6,从机场打车到双流没人愿意拉还要加钱,无,0,
,,,,,
854,整体评论,环境挺好的，餐厅、房间都很好，价格也合适，还可以机场接送，菜品有有改善的空间，餐饮不贵,总体,3,
,分句1,环境挺好的,环境,4,环境
,分句2,餐厅、房间都很好,环境,4,餐厅、房间
,分句3,价格也合适,物价,4,价格
,分句4,还可以机场接送,服务,4,机场接送
,分句5,菜品有有改善的空间,服务,2,菜品
,分句6,餐饮不贵,物价,3,餐饮不贵
,,,,,
855,整体评论,酒店的性价比超高，地理位置稍微偏了点，还有免费接机，卫生虽然有点小瑕疵但整体不错，以后有机会还会去住的,总体,3,
,分句1,酒店的性价比超高,物价,3,性价比
,分句2,地理位置稍微偏了点,交通,3,地理位置
,分句3,还有免费接机,服务,4,免费接机
,分句4,卫生虽然有点小瑕疵但整体不错,卫生,2,卫生
,分句5,以后有机会还会去住的,无,0,
,,,,,
856,整体评论,环境非常不错，房间设备齐全，餐饮服务周到，提供接送机服务。价格也算可以不太贵，就是离机场进，有时晚上会有飞机飞翔的声音。,总体,3,
,分句1,环境非常不错,环境,4,环境
,分句2,房间设备齐全,环境,4,设备齐全
,分句3,餐饮服务周到,服务,4,餐饮
,分句4,提供接送机服务,服务,4,接送机服务
,分句5,价格也算可以不太贵,物价,4,价格
,分句6,就是离机场进,交通,2,离机场进
,分句7,有时晚上会有飞机飞翔的声音,环境,2,飞机飞翔的声音
,,,,,
857,整体评论,距离机场十分钟左右车程，单独卫生间和浴室。装修也不错，干净卫生，服务好，春节期间中心位置涨价太多，而且性价比超低，所以选择这里,总体,3,
,分句1,距离机场十分钟左右车程,交通,3,机场
,分句2,单独卫生间和浴室,环境,4,卫生间和浴室
,分句3,装修也不错,环境,4,装修
,分句4,干净卫生,卫生,3,干净卫生
,分句5,服务好,服务,3,服务
,分句6,春节期间中心位置涨价太多,物价,2,涨价太多
,分句7,而且性价比超低,物价,2,性价比超低
,,,,,
858,整体评论,卫生差我上完厕所起来，突然看到马桶是脏成这样，真是恨不得自己来擦干净，洗护用品是这样二合一的，这个档次的酒店，按道理说应该有护发素才对，关键是等我洗了一半时，发现里面是空的，而是又出来给前台打电话送，整个体验真是糟糕透了,总体,1,
,分句1,卫生差我上完厕所起来,卫生,1,卫生差
,分句2,突然看到马桶是脏成这样,卫生,1,马桶
,分句3,真是恨不得自己来擦干净,无,0,
,分句4,洗护用品是这样二合一的,服务,2,洗护用品
,分句5,这个档次的酒店,无,0,
,分句6,按道理说应该有护发素才对,无,0,
,分句7,关键是等我洗了一半时,无,0,
,分句8,发现里面是空的,无,0,
,分句9,而是又出来给前台打电话送,服务,2,前台
,分句10,整个体验真是糟糕透了,无,0,
,,,,,
859,整体评论,这是我住过价格最平民化的高档酒店，价钱合适的不能再合适，服务好的让我知道什么是用心服务，房间干净整洁，强力推荐给大家！,总体,3,
,分句1,这是我住过价格最平民化的高档酒店,环境,3,高档酒店
,分句2,价钱合适的不能再合适,物价,4,价钱合适
,分句3,服务好的让我知道什么是用心服务,服务,3,服务好
,分句4,房间干净整洁,卫生,4,干净整洁
,分句5,强力推荐给大家,无,0,
,,,,,
860,整体评论,附近交通和吃都还算比较方便的，去春熙路也就不行十分钟，而且住的地方都有门禁，电梯还要刷卡比较安全，就是楼下那家面王的面太辣了，房间一般都会有备用的被子，地铁感觉不如打车方便,总体,3,
,分句1,附近交通和吃都还算比较方便的,交通,3,交通和吃
,分句2,去春熙路也就不行十分钟,交通,3,春熙路
,分句3,而且住的地方都有门禁,安全,3,有门禁
,分句4,电梯还要刷卡比较安全,安全,3,安全
,分句5,就是楼下那家面王的面太辣了,购物,2,面王的面
,分句6,房间一般都会有备用的被子,服务,3,备用的被子
,分句7,地铁感觉不如打车方便,交通,2,地铁
,,,,,
861,整体评论,公寓非常安全，有保安门禁梯控，商场就在楼下，负1楼有绿地进口超市屈臣氏，1楼有面包新语、7-11，4楼还有一个电影院，楼下交通也非常方便，去看乐山大佛就是租的楼下的奔驰smart，而且管家发的火锅超级好吃，比小龙坎好吃,总体,4,
,分句1,公寓非常安全,安全,4,安全
,分句2,有保安门禁梯控,安全,4,保安门禁
,分句3,商场就在楼下,购物,3,商场
,分句4,负1楼有绿地进口超市屈臣氏,购物,3,屈臣氏
,分句5,1楼有面包新语、7-11,购物,3,面包新语、7-11
,分句6,4楼还有一个电影院,购物,3,电影院
,分句7,楼下交通也非常方便,交通,4,交通
,分句8,去看乐山大佛就是租的楼下的奔驰smart,服务,4,乐山大佛
,分句9,而且管家发的火锅超级好吃,购物,3,火锅
,分句10,比小龙坎好吃,购物,3,小龙坎
,,,,,
862,整体评论,很好的公寓酒店里面很安全，服务管家特别好，介绍吃、购物 、特产 、游玩都很专业，出入都需要门卡，房间超级宽敞，和住在家里一样的感觉，旁边吃饭、逛街都很方便，打车10-15块钱，春熙路美女好多,总体,4,
,分句1,很好的公寓酒店里面很安全,安全,5,很安全
,分句2,服务管家特别好,服务,4,服务管家
,分句3,介绍吃、购物 、特产 、游玩都很专业,服务,4,很专业
,分句4,出入都需要门卡,安全,5,门卡
,分句5,房间超级宽敞,环境,4,宽敞
,分句6,和住在家里一样的感觉,环境,4,家里
,分句7,旁边吃饭、逛街都很方便,购物,4,吃饭、逛街
,分句8,打车10-15块钱,交通,3,打车
,分句9,春熙路美女好多,游览,4,美女
,,,,,
863,整体评论,"公寓式套房，整个体验非常自由放松，适合度假，硬件和服务都不错，,地理位置挺好，距离地铁很近，春熙路、宽窄巷子等都很方便",总体,3,
,分句1,公寓式套房,环境,3,公寓式
,分句2,整个体验非常自由放松,无,0,
,分句3,适合度假,无,0,
,分句4,硬件和服务都不错,服务,3,硬件和服务
,分句5,地理位置挺好,交通,3,地理位置
,分句6,距离地铁很近,交通,3,地铁
,分句7,春熙路、宽窄巷子等都很方便,游览,3,春熙路、宽窄巷子
,,,,,
864,整体评论,酒店位置很好，出行方便，房间布置温馨，采光隔音效果好很敞亮，房间卫生干净整洁，服务态度热情,总体,3,
,分句1,酒店位置很好,交通,3,酒店位置
,分句2,出行方便,交通,3,出行方便
,分句3,房间布置温馨,环境,3,温馨
,分句4,采光隔音效果好很敞亮,环境,3,采光隔音
,分句5,房间卫生干净整洁,卫生,3,卫生干净
,分句6,服务态度热情,服务,3,服务态度热情
,,,,,
865,整体评论,位置在恒大广场，离春熙路、太古里都不远，出去要刷门禁卡很安全，床很舒服，就是在成都只待了四天好多吃的没吃到，,总体,3,
,分句1,位置在恒大广场,交通,3,恒大广场
,分句2,离春熙路、太古里都不远,游览,3,春熙路、太古里
,分句3,出去要刷门禁卡很安全,安全,4,安全
,分句4,床很舒服,服务,3,床
,分句5,就是在成都只待了四天好多吃的没吃到,无,0,
,,,,,
866,整体评论,地理位置还行比较好找，距离地铁站有点远，酒店正门在马路的背面，酒店大堂在2楼，前台办理快捷服务耐心，退房速度也很快，酒店应该属于老挂牌4星酒店，设施设备比较陈旧，衣柜也是时间长久破损比较严重的，房间空调不敢开声音太大，wifi太不给力基本是连不上，让客房服务员检修过也是连不上果断放弃，早餐没去吃不知道味道如何，酒店夜总会人比较多,总体,2,
,分句1,地理位置还行比较好找,交通,3,地理位置
,分句2,距离地铁站有点远,交通,1,地铁站
,分句3,酒店正门在马路的背面,环境,2,酒店正门
,分句4,酒店大堂在2楼,环境,2,酒店大堂
,分句5,前台办理快捷服务耐心,服务,4,前台
,分句6,退房速度也很快,服务,3,退房速度
,分句7,酒店应该属于老挂牌4星酒店,无,0,
,分句8,设施设备比较陈旧,环境,2,陈旧
,分句9,衣柜也是时间长久破损比较严重的,环境,2,衣柜
,分句10,房间空调不敢开声音太大,环境,1,房间空调
,分句11,wifi太不给力基本是连不上,服务,1,wifi
,分句12,让客房服务员检修过也是连不上果断放弃,无,0,
,分句13,早餐没去吃不知道味道如何,无,0,
,分句14,酒店夜总会人比较多,环境,1,酒店夜总会
,,,,,
867,整体评论,整体比较好大厅漂亮，进店后住下房间内看到设施有些老旧，周边正在修建，还是巷子内不太好找，晚上还是很吵闹，建筑工程一晚上都在不停的响，和之前住过的颐和不太一样,总体,2,
,分句1,整体比较好大厅漂亮,环境,2,大厅
,分句2,进店后住下房间内看到设施有些老旧,环境,2,老旧
,分句3,周边正在修建,环境,2,周边
,分句4,还是巷子内不太好找,交通,1,
,分句5,晚上还是很吵闹,环境,1,吵闹
,分句6,建筑工程一晚上都在不停的响,环境,1,建筑工程
,分句7,和之前住过的颐和不太一样,无,0,
,,,,,
868,整体评论,酒店位置好，能看到河景，离九眼桥酒吧街很近，交通便利，对面小区出去就是公交站台，82路能到金沙、杜甫草堂、青羊宫、武侯祠、锦里，56路能到人民公园、天府广场、春熙路，房间宽敞，床很大服务好，,总体,4,
,分句1,酒店位置好,环境,4,位置好
,分句2,能看到河景,游览,4,河景
,分句3,离九眼桥酒吧街很近,游览,4,九眼桥酒吧街
,分句4,交通便利,交通,4,交通便利
,分句5,对面小区出去就是公交站台,交通,4,公交站台
,分句6,82路能到金沙、杜甫草堂、青羊宫、武侯祠、锦里,游览,4,金沙、杜甫草堂、青羊宫、武侯祠、锦里
,分句7,56路能到人民公园、天府广场、春熙路,游览,4,人民公园、天府广场、春熙路
,分句8,房间宽敞,环境,3,宽敞
,分句9,床很大服务好,服务,4,服务
,,,,,
869,整体评论,酒店有些旧，交通就靠共享单车也不错，周围配套设施齐全，吃饭什么的很方便，距离九眼桥很近，即使住在30楼关完窗户晚上还是能听到酒吧街的歌声，酒店里书桌前的凳子轮子太滑不方便，唯一好的就是有早饭，洗澡水很好，床的一边已经坐塌了一坐下就会滑下去，是不是该好好收拾一下换床垫了，早起拉开窗帘地板上的灰尘就很明显了，感觉不怎么干净,总体,2,
,分句1,酒店有些旧,环境,3,旧
,分句2,交通就靠共享单车也不错,交通,3,交通
,分句3,周围配套设施齐全,环境,3,周围配套
,分句4,吃饭什么的很方便,购物,3,吃饭
,分句5,距离九眼桥很近,游览,3,九眼桥
,分句6,即使住在30楼关完窗户晚上还是能听到酒吧街的歌声,环境,3,酒吧街的歌声
,分句7,酒店里书桌前的凳子轮子太滑不方便,服务,3,凳子
,分句8,唯一好的就是有早饭,服务,3,早饭
,分句9,洗澡水很好,服务,3,洗澡水
,分句10,床的一边已经坐塌了一坐下就会滑下去,服务,1,床
,分句11,是不是该好好收拾一下换床垫了,服务,1,床垫
,分句12,早起拉开窗帘地板上的灰尘就很明显了,卫生,1,灰尘
,分句13,感觉不怎么干净,卫生,1,干净
,,,,,
870,整体评论,酒店位置很好，就在九眼桥旁边，附近有地铁2号线，去春熙路、武侯祠、锦里、窄巷子都很近，这次都去玩了逛了，去峨眉、都江堰熊猫基地的集合点也都在附近，很方便，酒店设施齐全，但是有点陈旧，客房卫生状况还需加强，卫生间还是有异味的，服务员还是很有礼貌的，住的也还舒心,总体,3,
,分句1,酒店位置很好,环境,3,酒店位置
,分句2,就在九眼桥旁边,游览,3,九眼桥
,分句3,附近有地铁2号线,交通,3,地铁2号线
,分句4,去春熙路、武侯祠、锦里、窄巷子都很近,游览,4,春熙路、武侯祠、锦里、窄巷子
,分句5,这次都去玩了逛了,无,0,
,分句6,去峨眉、都江堰熊猫基地的集合点也都在附近,游览,4,峨眉、都江堰熊猫基地
,分句7,很方便,交通,3,方便
,分句8,酒店设施齐全,环境,3,齐全
,分句9,但是有点陈旧,环境,2,陈旧
,分句10,客房卫生状况还需加强,卫生,2,客房卫生
,分句11,卫生间还是有异味的,卫生,2,有异味的
,分句12,服务员还是很有礼貌的,服务,3,服务员
,分句13,住的也还舒心,无,0,
,,,,,
871,整体评论,"酒店下面就是大型商场超市，周边公交也多，交通便利,房间卫生干净整洁",总体,4,
,分句1,酒店下面就是大型商场超市,购物,4,大型商场超市
,分句2,周边公交也多,交通,4,公交
,分句3,交通便利,交通,4,交通便利
,分句4,房间卫生干净整洁,卫生,4,干净整洁
,,,,,
872,整体评论,环境还好，就是价格太贵449，早餐也不错，还送小朋友玩偶，服务员热情，酒店下面就是小吃的，地段不错走过去就是春熙路太古里,总体,3,
,分句1,环境还好,环境,3,环境还好
,分句2,就是价格太贵449,物价,1,449
,分句3,早餐也不错,服务,3,早餐
,分句4,还送小朋友玩偶,服务,3,玩偶
,分句5,服务员热情,服务,3,服务员
,分句6,酒店下面就是小吃的,购物,3,小吃的
,分句7,地段不错走过去就是春熙路太古里,游览,3,春熙路太古里
,,,,,
873,整体评论,地理位置得天独厚，离地铁2号线春熙路站仅2、3分钟路程，多走几步就到IFS金融广场了，而且周围有诸多美食，有需要排队排到绝望的小龙坎火锅、小𣇉肝火锅串串等等，酒店房间挺大干净整洁，入住的房间还有按摩椅舒适无比啊，酒店的自助早餐不错，特别是阿姨现煮的面条味道真是好，忍不住每天早餐都来一碗，酒店大堂的特产商店价格实惠，是购买成都特产一个不错的选择点,总体,4,
,分句1,地理位置得天独厚,环境,4,得天独厚
,分句2,离地铁2号线春熙路站仅2、3分钟路程,交通,4,地铁2号线
,分句3,多走几步就到IFS金融广场了,交通,4,IFS金融广场
,分句4,而且周围有诸多美食,购物,3,美食
,分句5,有需要排队排到绝望的小龙坎火锅、小𣇉肝火锅串串等等,购物,4,小龙坎火锅、小𣇉肝火锅串串
,分句6,酒店房间挺大干净整洁,卫生,4,干净整洁
,分句7,入住的房间还有按摩椅舒适无比啊,服务,4,按摩椅
,分句8,酒店的自助早餐不错,服务,4,自助早餐
,分句9,特别是阿姨现煮的面条味道真是好,服务,3,面条
,分句10,忍不住每天早餐都来一碗,无,0,
,分句11,酒店大堂的特产商店价格实惠,购物,4,特产商店
,分句12,是购买成都特产一个不错的选择点,购物,4,购买成都特产
,,,,,
874,整体评论,店很好找地理位置超级棒，楼下就是很有名的串串，晚上12点到的酒店下楼那里还没有关门，酒店离IFS和太古里就只需要过个马路，重点是很有名的小龙坎和大龙yi火锅在酒店的两侧路口上，但是酒店隔音不是特别好，服务人员的态度特别友好，之前的房间有问题第二天早上就帮我们换了，并且帮我们拿行李上楼，楼下的礼品店比外面要便宜很多,总体,3,
,分句1,店很好找地理位置超级棒,交通,3,地理位置
,分句2,楼下就是很有名的串串,购物,3,串串
,分句3,晚上12点到的酒店下楼那里还没有关门,无,0,
,分句4,酒店离IFS和太古里就只需要过个马路,游览,3,IFS和太古里
,分句5,重点是很有名的小龙坎和大龙yi火锅在酒店的两侧路口上,购物,3,小龙坎和大龙yi火锅
,分句6,但是酒店隔音不是特别好,环境,1,酒店隔音
,分句7,服务人员的态度特别友好,服务,4,服务人员的态度
,分句8,之前的房间有问题第二天早上就帮我们换了,无,0,
,分句9,并且帮我们拿行李上楼,服务,4,拿行李
,分句10,楼下的礼品店比外面要便宜很多,购物,4,礼品店
,,,,,
875,整体评论,酒店地理位置不错 离春熙路地铁口步行不用五分钟，离太古里等购物中心都是步行的距离，周边吃的也非常多，前台服务态度好入住退房都很迅速，打扫卫生阿姨看到都会打招呼，早餐也很好吃东西齐全，有吃到阿姨煮的面，这个价格可以说是良心价,总体,4,
,分句1,酒店地理位置不错 离春熙路地铁口步行不用五分钟,交通,4,春熙路地铁口
,分句2,离太古里等购物中心都是步行的距离,购物,4,太古里
,分句3,周边吃的也非常多,环境,4,周边吃的
,分句4,前台服务态度好入住退房都很迅速,服务,4,入住退房
,分句5,打扫卫生阿姨看到都会打招呼,服务,4,打扫卫生阿姨
,分句6,早餐也很好吃东西齐全,服务,4,早餐
,分句7,有吃到阿姨煮的面,服务,4,面
,分句8,这个价格可以说是良心价,物价,4,良心价
,,,,,
876,整体评论,离地铁口挺近的，287一晚感觉跟如家一类的酒店差不多，房间小的很卫生间也小，还有塞小名片的，我可能早上去餐厅比较迟东西几乎没有了，但是我去那边让阿姨给我下碗面，居然跟我说没有了，我明明看见还有面条放在那边，我过会走后发现再煮面条懒得争论，这个价钱住的真不怎样,总体,2,
,分句1,离地铁口挺近的,交通,3,地铁口
,分句2,287一晚感觉跟如家一类的酒店差不多,物价,2,287
,分句3,房间小的很卫生间也小,环境,2,房间小
,分句4,还有塞小名片的,服务,2,塞小名片
,分句5,我可能早上去餐厅比较迟东西几乎没有了,服务,2,餐厅
,分句6,但是我去那边让阿姨给我下碗面,服务,2,面
,分句7,居然跟我说没有了,无,0,
,分句8,我明明看见还有面条放在那边,无,0,
,分句9,我过会走后发现再煮面条懒得争论,无,0,
,分句10,这个价钱住的真不怎样,物价,2,价钱
,,,,,
877,整体评论,酒店位置是真心不错， 离春熙路跟太古里确实很近， 但是特意注明了无烟房， 结果给了一间靠窗而且临街噪音很大的吸烟房， 酒店内部设施陈旧， 洗手间与房门处莫名其妙的多处一个台阶， 好几次都绊到很危险，房间隔音差， 隔壁大叔半夜的呼噜声让人很难入睡， 300多一晚性价比极差 ,总体,2,
,分句1,酒店位置是真心不错,交通,3,位置
,分句2, 离春熙路跟太古里确实很近,游览,3,春熙路跟太古里
,分句3, 但是特意注明了无烟房,服务,1,无烟房
,分句4, 结果给了一间靠窗而且临街噪音很大的吸烟房,服务,1,吸烟房
,分句5, 酒店内部设施陈旧,环境,2,设施陈旧
,分句6, 洗手间与房门处莫名其妙的多处一个台阶,环境,2, 洗手间
,分句7, 好几次都绊到很危险,安全,1,很危险
,分句8,房间隔音差,环境,2,隔音差
,分句9, 隔壁大叔半夜的呼噜声让人很难入睡,环境,2,呼噜声
,分句10, 300多一晚性价比极差 ,环境,2, 300多
,,,,,
878,整体评论,酒店位于春熙路商业区，购物餐饮非常方便，距地铁站很近乘地铁方便，房间设施陈旧房间窄小，标准间的2张床紧挨着行李箱无处放，近300元的房费性价比不高,总体,2,
,分句1,酒店位于春熙路商业区,交通,3,春熙路商业区
,分句2,购物餐饮非常方便,购物,3,购物餐饮
,分句3,距地铁站很近乘地铁方便,交通,3,地铁站
,分句4,房间设施陈旧房间窄小,环境,1,陈旧
,分句5,标准间的2张床紧挨着行李箱无处放,环境,1,标准间
,分句6,近300元的房费性价比不高,物价,2,300元
,,,,,
879,整体评论,作为这个价位的酒店确实也算可以了，房间还算干净，服务也很周到，但是房间里味道太大，窗户关不上，设施比较陈旧，空调噪音也很大，不过位置确实很好，出门就是市中心，吃喝玩乐都有,总体,3,
,分句1,作为这个价位的酒店确实也算可以了,物价,3,价位
,分句2,房间还算干净,卫生,4,干净
,分句3,服务也很周到,服务,3,周到
,分句4,但是房间里味道太大,卫生,1,味道太大
,分句5,窗户关不上,环境,1,窗户
,分句6,设施比较陈旧,环境,1,陈旧
,分句7,空调噪音也很大,环境,1,空调噪音
,分句8,不过位置确实很好,交通,4,位置
,分句9,出门就是市中心,交通,4,市中心
,分句10,吃喝玩乐都有,游览,3,吃喝玩乐
,,,,,
880,整体评论,酒店干净卫生，服务热情周到，尤其是前台的工作人员有问必答，主动帮助客人解决一些困难和问题，酒店价格不高，地处市中心，离春熙路步行衔非常近，购物出行方便，而且楼下小吃物美价廉，还是成都的小吃名店，该酒店是吃货和购物狂的首选，,总体,4,
,分句1,酒店干净卫生,卫生,4,干净卫生
,分句2,服务热情周到,服务,4,热情周到
,分句3,尤其是前台的工作人员有问必答,服务,4,工作人员
,分句4,主动帮助客人解决一些困难和问题,服务,4,主动
,分句5,酒店价格不高,物价,4,价格不高
,分句6,地处市中心,交通,4,市中心
,分句7,离春熙路步行衔非常近,游览,4,春熙路步行衔
,分句8,购物出行方便,购物,4,购物出行
,分句9,而且楼下小吃物美价廉,购物,4,楼下小吃
,分句10,还是成都的小吃名店,购物,4,小吃名店
,分句11,该酒店是吃货和购物狂的首选,购物,4,吃货和购物狂
,,,,,
881,整体评论,房间非常差劲，.酒店空间非常狭小逼仄，一个人走过道都差点走不下，行李箱都没处放，一进门处有个很高的台阶很不方便，这设计也是一言难尽了，墙皮都发霉脱落了很恶心,总体,1,
,分句1,房间非常差劲,环境,1,差劲
,分句2,酒店空间非常狭小逼仄,环境,1,狭小逼仄
,分句3,一个人走过道都差点走不下,环境,1,过道
,分句4,行李箱都没处放,环境,1,行李箱
,分句5,一进门处有个很高的台阶很不方便,环境,1,台阶
,分句6,这设计也是一言难尽了,无,0,
,分句7,墙皮都发霉脱落了很恶心,卫生,1,发霉
,,,,,
882,整体评论,酒店火锅味太大，房间小，很一般的，没有图片上看的好，经济酒店但是价格高，卫生状况良好，总体来说还是一搬搬，,总体,2,
,分句1,酒店火锅味太大,环境,1,火锅味
,分句2,房间小,环境,1,房间小
,分句3,很一般的,环境,1,一般
,分句4,没有图片上看的好,无,0,
,分句5,经济酒店但是价格高,物价,1,价格高
,分句6,卫生状况良好,卫生,3,卫生
,分句7,总体来说还是一搬搬,无,0,
,,,,,
883,整体评论,性价比很低，店大欺客，住宿没有安全保障，卫生条件差，地上都是脏水，服务态度差,总体,1,
,分句1,性价比很低,物价,1,性价比
,分句2,店大欺客,物价,1,店大欺客
,分句3,住宿没有安全保障,安全,1,安全
,分句4,卫生条件差,卫生,1,卫生
,分句5,地上都是脏水,卫生,1,水
,分句6,服务态度差,服务,1,态度差
,,,,,
884,整体评论,房间很脏并且很潮，空调噪音大，我住的那件外墙上的室外机噪音污染简直让人难以接受，好在就是凑合一宿而已，那个窗帘脏的没法形容，轻轻一拉尘土飞扬，我的感觉就是花了4星际的价钱住的还不如民宿的房间,总体,1,
,分句1,房间很脏并且很潮,卫生,1,脏潮
,分句2,空调噪音大,环境,1,噪音
,分句3,我住的那件外墙上的室外机噪音污染简直让人难以接受,环境,1,噪音污染
,分句4,好在就是凑合一宿而已,无,0,
,分句5,那个窗帘脏的没法形容,卫生,1,窗帘脏
,分句6,轻轻一拉尘土飞扬,卫生,1,
,分句7,我的感觉就是花了4星际的价钱住的还不如民宿的房间,物价,1,
,,,,,
